,beat,count,years
0,1923,7,2004
1,1421,7,2015
2,2525,9,2013
3,2524,14,2013
4,1524,25,2019
5,1021,36,2013
6,633,14,2016
7,1114,21,2016
8,912,15,2009
9,1022,24,2016
10,1124,23,2017
11,2221,20,2006
12,1915,3,2019
13,524,4,2020
14,823,53,2010
15,1511,21,2005
16,112,13,2017
17,933,20,2005
18,232,6,2020
19,1732,14,2017
20,1135,41,2009
21,124,7,2012
22,822,26,2009
23,1511,23,2016
24,512,33,2011
25,1431,3,2015
26,1112,68,2011
27,433,4,2005
28,2513,6,2014
29,1221,4,2015
30,413,19,2008
31,2013,5,2019
32,1512,14,2012
33,1434,14,2011
34,731,13,2007
35,124,9,2019
36,1933,19,2016
37,1821,18,2011
38,822,6,2018
39,1623,13,2007
40,113,2,2005
41,2012,9,2011
42,513,37,2009
43,1813,2,2012
44,1434,6,2016
45,614,14,2010
46,133,5,2008
47,1923,18,2011
48,1213,21,2004
49,1925,18,2019
50,2424,19,2011
51,1911,5,2007
52,632,8,2004
53,1922,1,2018
54,1111,18,2016
55,922,10,2006
56,2211,5,2006
57,612,28,2016
58,433,3,2007
59,2534,19,2014
60,2222,10,2005
61,2423,15,2006
62,1832,20,2017
63,1122,27,2009
64,1114,12,2015
65,432,5,2004
66,434,22,2015
67,1211,20,2017
68,713,65,2015
69,1131,24,2011
70,1021,25,2016
71,123,18,2005
72,224,1,2014
73,1123,33,2017
74,1432,12,2008
75,124,12,2005
76,1224,21,2016
77,1655,1,2018
78,611,34,2009
79,821,7,2008
80,2534,4,2020
81,2533,37,2010
82,623,20,2018
83,3100,48,2019
84,1823,42,2007
85,1022,44,2006
86,3100,60,2005
87,723,21,2006
88,3100,48,2016
89,1833,14,2006
90,431,10,2010
91,1821,22,2017
92,1231,15,2017
93,2423,29,2016
94,2523,13,2011
95,2013,9,2007
96,2223,9,2005
97,812,5,2015
98,913,8,2004
99,815,7,2010
100,1713,23,2010
101,1011,46,2018
102,624,30,2018
103,2512,26,2015
104,1125,1,2016
105,1131,42,2018
106,1651,4,2017
107,1733,7,2016
108,1021,32,2010
109,111,7,2009
110,1524,6,2020
111,623,25,2015
112,2032,3,2004
113,214,5,2010
114,1633,24,2013
115,1222,14,2016
116,735,18,2007
117,2011,13,2004
118,1424,16,2009
119,1733,3,2008
120,424,19,2010
121,231,2,2004
122,1935,5,2012
123,511,39,2017
124,2511,10,2012
125,931,19,2012
126,1511,31,2008
127,722,25,2004
128,124,19,2006
129,1014,22,2004
130,2222,20,2013
131,1614,7,2010
132,734,13,2019
133,2521,29,2015
134,1011,46,2012
135,722,10,2014
136,433,6,2017
137,824,14,2019
138,1531,62,2012
139,1113,36,2015
140,824,21,2016
141,222,19,2006
142,1523,17,2015
143,722,26,2016
144,424,18,2006
